Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs//photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/photometry_catalog.hdf5, BPZliteEstimator
Process 17 running estimator on chunk 19070000 - 19080000
Process 17 running estimator on chunk 19370000 - 19380000
Process 17 running estimator on chunk 19670000 - 19680000
Process 17 running estimator on chunk 19970000 - 19980000
Process 17 running estimator on chunk 20270000 - 20280000
Process 17 running estimator on chunk 20570000 - 20580000
Process 17 running estimator on chunk 20870000 - 20880000
Process 17 running estimator on chunk 21170000 - 21180000
Process 17 running estimator on chunk 21470000 - 21480000
Process 17 running estimator on chunk 21770000 - 21780000
Process 17 running estimator on chunk 22070000 - 22080000
Process 17 running estimator on chunk 22370000 - 22380000
Process 17 running estimator on chunk 22670000 - 22680000
Process 17 running estimator on chunk 22970000 - 22980000
Process 17 running estimator on chunk 23270000 - 23280000
Process 17 running estimator on chunk 23570000 - 23580000
Process 17 running estimator on chunk 23870000 - 23880000
Process 17 running estimator on chunk 24170000 - 24180000
Process 17 running estimator on chunk 24470000 - 24480000
Process 17 running estimator on chunk 24770000 - 24780000
Process 17 running estimator on chunk 25070000 - 25080000
Process 17 running estimator on chunk 25370000 - 25380000
Process 17 running estimator on chunk 25670000 - 25680000
Process 17 running estimator on chunk 25970000 - 25980000
Process 17 running estimator on chunk 26270000 - 26280000
Process 17 running estimator on chunk 26570000 - 26580000
Process 17 running estimator on chunk 26870000 - 26880000
Process 17 running estimator on chunk 27170000 - 27180000
Process 17 running estimator on chunk 27470000 - 27480000
Process 17 running estimator on chunk 27770000 - 27780000
Process 17 running estimator on chunk 28070000 - 28080000
Process 17 running estimator on chunk 28370000 - 28380000
Process 17 running estimator on chunk 28670000 - 28680000
Process 17 running estimator on chunk 28970000 - 28980000
Process 17 running estimator on chunk 29270000 - 29280000
Process 17 running estimator on chunk 29570000 - 29580000
Process 17 running estimator on chunk 29870000 - 29880000
Process 17 running estimator on chunk 30170000 - 30180000
Process 17 running estimator on chunk 30470000 - 30480000
Process 17 running estimator on chunk 30770000 - 30780000
Process 17 running estimator on chunk 31070000 - 31080000
Process 17 running estimator on chunk 31370000 - 31380000
Process 17 running estimator on chunk 31670000 - 31680000
Process 17 running estimator on chunk 31970000 - 31980000
Process 17 running estimator on chunk 32270000 - 32280000
Process 17 running estimator on chunk 32570000 - 32580000
Process 17 running estimator on chunk 32870000 - 32880000
Process 17 running estimator on chunk 33170000 - 33180000
Process 17 running estimator on chunk 33470000 - 33480000
Process 17 running estimator on chunk 33770000 - 33780000
Process 17 running estimator on chunk 34070000 - 34080000
Process 17 running estimator on chunk 34370000 - 34380000
Process 17 running estimator on chunk 34670000 - 34680000
Process 17 running estimator on chunk 34970000 - 34980000
Process 17 running estimator on chunk 35270000 - 35280000
Process 17 running estimator on chunk 35570000 - 35580000
Process 17 running estimator on chunk 35870000 - 35880000
Process 17 running estimator on chunk 36170000 - 36180000
Process 17 running estimator on chunk 36470000 - 36480000
Process 17 running estimator on chunk 36770000 - 36780000
Process 17 running estimator on chunk 37070000 - 37080000
Process 17 running estimator on chunk 37370000 - 37380000
Process 17 running estimator on chunk 37670000 - 37680000
Process 17 running estimator on chunk 37970000 - 37980000
Process 17 running estimator on chunk 38270000 - 38280000
Process 17 running estimator on chunk 38570000 - 38580000
Process 17 running estimator on chunk 38870000 - 38880000
Process 17 running estimator on chunk 39170000 - 39180000
Process 17 running estimator on chunk 39470000 - 39480000
Process 17 running estimator on chunk 39770000 - 39780000
Process 17 running estimator on chunk 40070000 - 40080000
Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs//photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/photometry_catalog.hdf5, BPZliteEstimator
Process 12 running estimator on chunk 120000 - 130000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
Process 12 running estimator on chunk 420000 - 430000
Process 12 running estimator on chunk 720000 - 730000
Process 12 running estimator on chunk 1020000 - 1030000
Process 12 running estimator on chunk 1320000 - 1330000
Process 12 running estimator on chunk 1620000 - 1630000
Process 12 running estimator on chunk 1920000 - 1930000
Process 12 running estimator on chunk 2220000 - 2230000
Process 12 running estimator on chunk 2520000 - 2530000
Process 12 running estimator on chunk 2820000 - 2830000
Process 12 running estimator on chunk 3120000 - 3130000
Process 12 running estimator on chunk 3420000 - 3430000
Process 12 running estimator on chunk 3720000 - 3730000
Process 12 running estimator on chunk 4020000 - 4030000
Process 12 running estimator on chunk 4320000 - 4330000
Process 12 running estimator on chunk 4620000 - 4630000
Process 12 running estimator on chunk 4920000 - 4930000
Process 12 running estimator on chunk 5220000 - 5230000
Process 12 running estimator on chunk 5520000 - 5530000
Process 12 running estimator on chunk 5820000 - 5830000
Process 12 running estimator on chunk 6120000 - 6130000
Process 12 running estimator on chunk 6420000 - 6430000
Process 12 running estimator on chunk 6720000 - 6730000
Process 12 running estimator on chunk 7020000 - 7030000
Process 12 running estimator on chunk 7320000 - 7330000
Process 12 running estimator on chunk 7620000 - 7630000
Process 12 running estimator on chunk 7920000 - 7930000
Process 12 running estimator on chunk 8220000 - 8230000
Process 12 running estimator on chunk 8520000 - 8530000
Process 12 running estimator on chunk 8820000 - 8830000
Process 12 running estimator on chunk 9120000 - 9130000
Process 12 running estimator on chunk 9420000 - 9430000
Process 12 running estimator on chunk 9720000 - 9730000
Process 12 running estimator on chunk 10020000 - 10030000
Process 12 running estimator on chunk 10320000 - 10330000
Process 12 running estimator on chunk 10620000 - 10630000
Process 12 running estimator on chunk 10920000 - 10930000
Process 12 running estimator on chunk 11220000 - 11230000
Process 12 running estimator on chunk 11520000 - 11530000
Process 12 running estimator on chunk 11820000 - 11830000
Process 12 running estimator on chunk 12120000 - 12130000
Process 12 running estimator on chunk 12420000 - 12430000
Process 12 running estimator on chunk 12720000 - 12730000
Process 12 running estimator on chunk 13020000 - 13030000
Process 12 running estimator on chunk 13320000 - 13330000
Process 12 running estimator on chunk 13620000 - 13630000
Process 12 running estimator on chunk 13920000 - 13930000
Process 12 running estimator on chunk 14220000 - 14230000
Process 12 running estimator on chunk 14520000 - 14530000
Process 12 running estimator on chunk 14820000 - 14830000
Process 12 running estimator on chunk 15120000 - 15130000
Process 12 running estimator on chunk 15420000 - 15430000
Process 12 running estimator on chunk 15720000 - 15730000
Process 12 running estimator on chunk 16020000 - 16030000
Process 12 running estimator on chunk 16320000 - 16330000
Process 12 running estimator on chunk 16620000 - 16630000
Process 12 running estimator on chunk 16920000 - 16930000
Process 12 running estimator on chunk 17220000 - 17230000
Process 12 running estimator on chunk 17520000 - 17530000
Process 12 running estimator on chunk 17820000 - 17830000
Process 12 running estimator on chunk 18120000 - 18130000
Process 12 running estimator on chunk 18420000 - 18430000
Process 12 running estimator on chunk 18720000 - 18730000
Process 12 running estimator on chunk 19020000 - 19030000
Process 12 running estimator on chunk 19320000 - 19330000
Process 12 running estimator on chunk 19620000 - 19630000
Process 12 running estimator on chunk 19920000 - 19930000
Process 12 running estimator on chunk 20220000 - 20230000
Process 12 running estimator on chunk 20520000 - 20530000
Process 12 running estimator on chunk 20820000 - 20830000
Process 12 running estimator on chunk 21120000 - 21130000
Process 12 running estimator on chunk 21420000 - 21430000
Process 12 running estimator on chunk 21720000 - 21730000
Process 12 running estimator on chunk 22020000 - 22030000
Process 12 running estimator on chunk 22320000 - 22330000
Process 12 running estimator on chunk 22620000 - 22630000
Process 12 running estimator on chunk 22920000 - 22930000
Process 12 running estimator on chunk 23220000 - 23230000
Process 12 running estimator on chunk 23520000 - 23530000
Process 12 running estimator on chunk 23820000 - 23830000
Process 12 running estimator on chunk 24120000 - 24130000
Process 12 running estimator on chunk 24420000 - 24430000
Process 12 running estimator on chunk 24720000 - 24730000
Process 12 running estimator on chunk 25020000 - 25030000
Process 12 running estimator on chunk 25320000 - 25330000
Process 12 running estimator on chunk 25620000 - 25630000
Process 12 running estimator on chunk 25920000 - 25930000
Process 12 running estimator on chunk 26220000 - 26230000
Process 12 running estimator on chunk 26520000 - 26530000
Process 12 running estimator on chunk 26820000 - 26830000
