Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 10 running estimator on chunk 17800000 - 17810000
Process 10 running estimator on chunk 18100000 - 18110000
Process 10 running estimator on chunk 18400000 - 18410000
Process 10 running estimator on chunk 18700000 - 18710000
Process 10 running estimator on chunk 19000000 - 19010000
Process 10 running estimator on chunk 19300000 - 19310000
Process 10 running estimator on chunk 19600000 - 19610000
Process 10 running estimator on chunk 19900000 - 19910000
Process 10 running estimator on chunk 20200000 - 20210000
Process 10 running estimator on chunk 20500000 - 20510000
Process 10 running estimator on chunk 20800000 - 20810000
Process 10 running estimator on chunk 21100000 - 21110000
Process 10 running estimator on chunk 21400000 - 21410000
Process 10 running estimator on chunk 21700000 - 21710000
Process 10 running estimator on chunk 22000000 - 22010000
Process 10 running estimator on chunk 22300000 - 22310000
Process 10 running estimator on chunk 22600000 - 22610000
Process 10 running estimator on chunk 22900000 - 22910000
Process 10 running estimator on chunk 23200000 - 23210000
Process 10 running estimator on chunk 23500000 - 23510000
Process 10 running estimator on chunk 23800000 - 23810000
Process 10 running estimator on chunk 24100000 - 24110000
Process 10 running estimator on chunk 24400000 - 24410000
Process 10 running estimator on chunk 24700000 - 24710000
Process 10 running estimator on chunk 25000000 - 25010000
Process 10 running estimator on chunk 25300000 - 25310000
Process 10 running estimator on chunk 25600000 - 25610000
Process 10 running estimator on chunk 25900000 - 25910000
Process 10 running estimator on chunk 26200000 - 26210000
Process 10 running estimator on chunk 26500000 - 26510000
Process 10 running estimator on chunk 26800000 - 26810000
Process 10 running estimator on chunk 27100000 - 27110000
Process 10 running estimator on chunk 27400000 - 27410000
Process 10 running estimator on chunk 27700000 - 27710000
Process 10 running estimator on chunk 28000000 - 28010000
Process 10 running estimator on chunk 28300000 - 28310000
Process 10 running estimator on chunk 28600000 - 28610000
Process 10 running estimator on chunk 28900000 - 28910000
Process 10 running estimator on chunk 29200000 - 29210000
Process 10 running estimator on chunk 29500000 - 29510000
Process 10 running estimator on chunk 29800000 - 29810000
Process 10 running estimator on chunk 30100000 - 30110000
Process 10 running estimator on chunk 30400000 - 30410000
Process 10 running estimator on chunk 30700000 - 30710000
Process 10 running estimator on chunk 31000000 - 31010000
Process 10 running estimator on chunk 31300000 - 31310000
Process 10 running estimator on chunk 31600000 - 31610000
Process 10 running estimator on chunk 31900000 - 31910000
Process 10 running estimator on chunk 32200000 - 32210000
Process 10 running estimator on chunk 32500000 - 32510000
Process 10 running estimator on chunk 32800000 - 32810000
Process 10 running estimator on chunk 33100000 - 33110000
Process 10 running estimator on chunk 33400000 - 33410000
Process 10 running estimator on chunk 33700000 - 33710000
Process 10 running estimator on chunk 34000000 - 34010000
Process 10 running estimator on chunk 34300000 - 34310000
Process 10 running estimator on chunk 34600000 - 34610000
Process 10 running estimator on chunk 34900000 - 34910000
Process 10 running estimator on chunk 35200000 - 35210000
Process 10 running estimator on chunk 35500000 - 35510000
Process 10 running estimator on chunk 35800000 - 35810000
Process 10 running estimator on chunk 36100000 - 36110000
Process 10 running estimator on chunk 36400000 - 36410000
Process 10 running estimator on chunk 36700000 - 36710000
Process 10 running estimator on chunk 37000000 - 37010000
Process 10 running estimator on chunk 37300000 - 37310000
Process 10 running estimator on chunk 37600000 - 37610000
Process 10 running estimator on chunk 37900000 - 37910000
Process 10 running estimator on chunk 38200000 - 38210000
Process 10 running estimator on chunk 38500000 - 38510000
Process 10 running estimator on chunk 38800000 - 38810000
Process 10 running estimator on chunk 39100000 - 39110000
Process 10 running estimator on chunk 39400000 - 39410000
Process 10 running estimator on chunk 39700000 - 39710000
Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 15 running estimator on chunk 150000 - 160000
Inserting handle into data store.  output: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/inprogress_source_photoz_pdfs.hdf5, BPZliteEstimator
